entry_id,text,reading,selection,floor_for,assigned_upos,assigned_frames,profile_count,readingSupport,heteronym,cedict,commonness,grammarEvidence,predicate,reading_verdict,role_verdict,notes
word:五十:ㄨ3-ㄕ2,五十,ㄨ3 ㄕ2,base,readingSupport|cedict|commonness|grammarEvidence,NUM,avalent,1,no-projection,single-reading,unique-record,tier-2,moderate-3-9,non-predicate,,,
word:今日:ㄐㄧㄣ1-ㄖ4,今日,ㄐㄧㄣ1 ㄖ4,base,commonness,NOUN,avalent,1,moe-concised,single-reading,absent,tier-2,moderate-3-9,non-predicate,,,
word:允許:ㄩㄣ3-ㄒㄩ3,允許,ㄩㄣ3 ㄒㄩ3,base,commonness,VERB,adpositional-complement|clausal-complement|intransitive|open-clausal-complement,1,moe-concised,single-reading,absent,tier-2,moderate-3-9,predicate,,,
word:分:ㄈㄣ1,分,ㄈㄣ1,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN|PART|VERB,adpositional-complement|avalent|clausal-complement|transitive,3,no-projection,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:反擊:ㄈㄢ3-ㄐㄧ2,反擊,ㄈㄢ3 ㄐㄧ2,base,grammarEvidence,VERB,ambitransitive|intransitive|transitive,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,predicate,,,
word:天皇:ㄊㄧㄢ1-ㄏㄨㄤ2,天皇,ㄊㄧㄢ1 ㄏㄨㄤ2,base,,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:巴迪:ㄅㄚ1-ㄉㄧ2,巴迪,ㄅㄚ1 ㄉㄧ2,base,,PROPN,avalent,1,no-projection,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:方言:ㄈㄤ1-ㄧㄢ2,方言,ㄈㄤ1 ㄧㄢ2,base,commonness|grammarEvidence,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:水汽:ㄕㄨㄟ3-ㄑㄧ4,水汽,ㄕㄨㄟ3 ㄑㄧ4,base,cedict,NOUN,avalent,1,no-projection,single-reading,unique-record,tier-4,weak-1-2,non-predicate,,,
word:水圈:ㄕㄨㄟ3-ㄑㄩㄢ1,水圈,ㄕㄨㄟ3 ㄑㄩㄢ1,base,readingSupport,NOUN,avalent,1,moe-revised-fallback,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
